C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_49_777.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_49_777.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_49_777.jpg, 0, 0, 0, 7.775339E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_49_878.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_49_878.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_49_878.jpg, 0, 0, 0, 8.000462E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_49_980.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_49_980.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_49_980.jpg, 0, 0, 0, 7.803534E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_082.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_082.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_082.jpg, 0, 0, 0, 7.796847E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_183.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_183.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_183.jpg, 0, 0, 0, 7.815342E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_283.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_283.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_283.jpg, 0, 0, 0, 8.017896E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_383.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_383.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_383.jpg, 0, 0, 0, 7.796983E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_486.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_486.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_486.jpg, 0, 0, 0, 7.826598E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_589.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_589.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_589.jpg, 0, 0, 0, 7.833519E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_691.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_691.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_691.jpg, 0, 0, 0, 8.080455E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_796.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_796.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_796.jpg, 0, 0, 0, 7.864918E-05
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_899.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_899.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_899.jpg, 0, 0.3080817, 0, 0.2160594
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_50_999.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_50_999.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_50_999.jpg, 0, 0.006683428, 0, 0.3636709
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_51_103.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_51_103.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_51_103.jpg, 0, 0.3010041, 0, 0.5905614
C:\Users\vadim\Downloads\simulator-windows-64\IMG\center_2022_06_20_10_34_51_204.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\left_2022_06_20_10_34_51_204.jpg, C:\Users\vadim\Downloads\simulator-windows-64\IMG\right_2022_06_20_10_34_51_204.jpg, 0, 0.6052011, 0, 1.107078
